trip_id,start_time,end_time,headway_secs,exact_times
28239475,18:55:00,20:31:00,1440,1
28239224,06:05:00,07:25:00,1200,1
28239227,07:46:00,08:30:00,1320,1
28239230,08:53:00,19:14:00,1380,1
28224390,24:20:00,25:00:00,2400,1
28224391,21:47:00,23:03:00,2280,1
28255490,07:00:00,08:24:00,1260,1
28255491,08:43:00,17:54:00,1140,1
28255492,18:18:00,19:54:00,1440,1
28255242,05:30:00,07:15:00,1260,1
28255245,07:37:00,08:21:00,1320,1
28255248,08:42:00,09:04:00,1320,1
28255251,09:27:00,18:39:00,1380,1
28230041,21:10:00,23:04:00,2280,1
28232520,05:50:00,07:20:00,2700,1
28232523,07:45:00,19:00:00,1500,1
28210687,07:30:00,10:30:00,2700,1
28210688,11:05:00,19:00:00,1500,1
28210689,19:30:00,20:15:00,2700,1
28283018,05:25:00,06:55:00,2700,1
28283021,07:20:00,18:35:00,1500,1
28283024,19:05:00,19:50:00,2700,1
28213247,07:10:00,10:10:00,2700,1
28213248,10:40:00,18:35:00,1500,1
28213249,19:05:00,19:50:00,2700,1
28218480,24:10:00,25:20:00,2100,1
28218481,07:05:00,09:45:00,1200,1
28218482,10:03:00,19:39:00,1080,1
28218483,20:00:00,21:24:00,1260,1
28218484,21:48:00,23:00:00,1440,1
28218104,06:35:00,07:39:00,960,1
28218107,07:54:00,09:39:00,900,1
28218110,09:55:00,18:27:00,960,1
28218113,18:59:00,19:47:00,960,1
28231457,05:40:00,06:10:00,1800,1
28231447,05:40:00,06:20:00,1200,1
28233154,24:10:00,24:45:00,2100,1
28233155,06:30:00,06:48:00,1080,1
28233156,07:07:00,07:26:00,1140,1
28233157,07:46:00,08:05:00,1140,1
28233158,08:25:00,09:22:00,1140,1
28233159,09:38:00,09:55:00,1020,1
28233160,10:13:00,18:55:00,1080,1
28233161,19:16:00,20:19:00,1260,1
28233162,20:44:00,21:34:00,1500,1
28233163,22:00:00,22:25:00,1500,1
28232734,06:00:00,06:14:00,840,1
28232737,06:29:00,07:14:00,900,1
28232740,07:25:00,09:25:00,900,1
28232743,09:41:00,17:41:00,960,1
28232746,18:13:00,19:01:00,960,1
28239001,05:10:00,05:40:00,1800,1
28238991,05:10:00,05:50:00,1200,1
28281917,06:30:00,06:50:00,1200,1
28281920,07:09:00,11:29:00,1200,1
28281923,11:46:00,14:19:00,1020,1
28257426,07:05:00,08:37:00,1380,1
28257427,08:57:00,09:57:00,1200,1
28257428,10:19:00,11:25:00,1320,1
28257429,11:43:00,14:07:00,1080,1
28257430,14:24:00,18:56:00,960,1
28257431,19:17:00,19:59:00,1260,1
28257389,15:00:00,17:16:00,1020,1
28257392,17:32:00,18:06:00,1020,1
28257395,18:22:00,18:39:00,1020,1
28257398,19:17:00,19:37:00,1200,1
28252984,21:03:00,21:29:00,1560,1
28285192,06:45:00,07:07:00,1320,1
28285193,07:28:00,08:31:00,1260,1
28285194,08:50:00,09:47:00,1140,1
28285195,10:08:00,10:50:00,1260,1
28285196,11:08:00,13:14:00,1080,1
28285197,13:30:00,13:46:00,960,1
28285198,13:57:00,16:37:00,960,1
28285199,16:54:00,17:10:00,960,1
28285200,17:27:00,17:43:00,960,1
28285201,18:00:00,21:09:00,1260,1
28285149,13:45:00,14:01:00,960,1
28285152,14:18:00,17:42:00,1020,1
28285155,18:21:00,19:03:00,1260,1
28247219,07:00:00,09:00:00,1800,1
28247220,09:29:00,19:27:00,1380,1
28247221,19:58:00,20:29:00,1860,1
28247045,06:00:00,08:00:00,1800,1
28247048,08:22:00,09:06:00,1320,1
28247051,09:29:00,19:27:00,1380,1
28220774,07:30:00,08:30:00,1800,1
28220775,08:57:00,18:32:00,1380,1
28220776,18:56:00,20:29:00,1860,1
28220622,06:30:00,07:30:00,1800,1
28220625,07:51:00,08:57:00,1320,1
28220628,09:20:00,18:32:00,1380,1
28220631,18:56:00,19:27:00,1860,1
28241168,06:00:00,07:18:00,1560,1
28241169,07:43:00,08:00:00,1020,1
28241170,08:21:00,14:06:00,1380,1
28241171,14:36:00,19:36:00,1800,1
28241172,20:05:00,20:33:00,1680,1
28240880,18:00:00,18:30:00,1800,1
28240868,05:30:00,05:56:00,1560,1
28240871,06:21:00,06:47:00,1560,1
28240874,07:12:00,08:30:00,1560,1
28240877,09:00:00,17:00:00,1800,1
28253470,08:00:00,08:21:00,1260,1
28253471,08:43:00,18:18:00,1500,1
28253472,18:44:00,19:09:00,1500,1
28253473,19:35:00,20:05:00,1800,1
28253442,07:15:00,08:43:00,1320,1
28253445,09:08:00,18:18:00,1500,1
28253448,18:44:00,19:09:00,1500,1
28265492,07:30:00,09:06:00,1440,1
28265493,09:31:00,18:16:00,1500,1
28265494,18:45:00,20:15:00,1800,1
28265467,06:35:00,07:29:00,1620,1
28265470,07:54:00,09:06:00,1440,1
28265473,09:31:00,18:16:00,1500,1
28265476,18:45:00,19:45:00,1800,1
28235662,07:30:00,09:08:00,840,1
28235665,09:21:00,09:36:00,900,1
